marker,ln0251_n_cells,ln0251_mean,ln0251_std,ln0251_median,ln0251_pct_nonzero,ln0265_n_cells,ln0265_mean,ln0265_std,ln0265_median,ln0265_pct_nonzero,mean_difference,mean_fold_change,cohens_d,mannwhitney_p,mannwhitney_significant,ks_statistic,ks_p,wasserstein_distance,std_ratio,abs_cohens_d,abs_log_fc
CD134,15115,0.006286370173477009,0.0050476441512677115,0.005715593695640564,99.96030433344359,14297,0.004017018360003596,0.006449746357503601,0.003191952593624592,99.9860110512695,0.002269351813473413,1.564930493413639,0.3918557464861457,0.0,True,0.4752049863406453,0.0,0.0023722567506356995,0.7826100509045304,0.3918557464861457,0.19449505584148985
IL10,15115,0.018446063304776675,0.006445559243690713,0.01787167228758335,99.98676811114787,14297,0.014973291857555259,0.007410093809188148,0.013801785185933113,99.99300552563474,0.0034727714472214156,1.2319302369149208,0.5000677217829463,0.0,True,0.3567732969617582,0.0,0.0038073972096569087,0.8698338659842457,0.5000677217829463,0.090586118349876
CD5,15115,0.02710737468194281,0.028165274517701358,0.016819680109620094,99.99338405557393,14297,0.00805528235910299,0.00912881156207984,0.00521540641784668,99.99300552563474,0.01905209232283982,3.365163357641484,0.910022862432372,0.0,True,0.5594792862563484,0.0,0.019052104086420007,3.085313293305779,0.910022862432372,0.5270061526440977
CD206,15115,0.010306615214158247,0.004898129347671866,0.009990341030061245,99.96692027786966,14297,0.006890977944023944,0.00918826000739112,0.005776952486485243,99.99300552563474,0.003415637270134303,1.4956658316455813,0.46391656085747385,0.0,True,0.6070657795954825,0.0,0.004300008613578729,0.5330850468838825,0.46391656085747385,0.17483457525321322
CD25,15115,0.008908989016834387,0.005298663299244267,0.0080600930377841,99.96692027786966,14297,0.002989266075604225,0.0022917012801824625,0.0024705082178115845,99.99300552563474,0.005919722941230162,2.9803165687978836,1.4501484544721377,0.0,True,0.7277356776337234,0.0,0.005919784073848095,2.3120989738386224,1.4501484544721377,0.4742623986811273
CD16,15115,0.03631858870603915,0.03294738519180473,0.024236412718892097,100.0,14297,0.013930173912413578,0.019975427615923167,0.00833303201943636,99.99300552563474,0.02238841479362557,2.607186590959121,0.8217525786607425,0.0,True,0.628224710087367,0.0,0.022395722995804692,1.649394913157804,0.8217525786607425,0.4161721155053888
CD152,15115,0.014614165576123377,0.005414157798001595,0.014240232296288013,99.98676811114787,14297,0.008197140551338179,0.004004266467426121,0.007902286015450954,99.99300552563474,0.006417025024785198,1.7828348381057397,1.3476351159101168,0.0,True,0.6439498479297617,0.0,0.006428973739603339,1.3520939031169648,1.3476351159101168,0.25111111441577394
CD79a,15115,0.08631444563819538,0.08696450815384751,0.06300659477710724,100.0,14297,0.04019080155114704,0.04164218035184242,0.028178367763757706,99.99300552563474,0.04612364408704833,2.1476163905859713,0.6765027087244516,0.0,True,0.3127188905481837,0.0,0.04612364408704833,2.0883749730518164,0.6765027087244516,0.3319567118570367
CD57,15115,0.0076527223352845525,0.007203670533015104,0.006641947198659182,99.96030433344359,14297,0.0030920666961844626,0.0018329159528297138,0.002855452476069331,99.99300552563474,0.00456065563910009,2.4749458332413945,0.867692178236644,0.0,True,0.6692900812129506,0.0,0.004560673863811732,3.9301481447703384,0.867692178236644,0.3935657001428197
CD34,15115,0.005169713021079177,0.0038597189708225216,0.004880246240645647,99.9404565001654,14297,0.0028323416269126,0.0030992095669137593,0.002479167189449072,99.97901657690424,0.002337371394166577,1.8252370122259198,0.6677840053582601,0.0,True,0.581421745957313,0.0,0.002337418114400274,1.2453841644611443,0.6677840053582601,0.26131926920941073
